报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长,是否通过
3569,丽华市,女,有相关经验,无,高中,艺术学,12,<10,公共部门,2,180,否
55620,娜县,,无相关经验,非全日制,硕士,医学,17,<10,非政府组织,2,105,否
49828,杭州市,,有相关经验,非全日制,专科,其他,5,10-49,融资创业公司,4,95,否
27430,巢湖市,男,无相关经验,非全日制,高中,医学,3,10-49,公共部门,>4,74,否
81164,兴城县,男,有相关经验,非全日制,本科,其他,19,10-49,融资创业公司,从未,53,否
6057,惠州县,,无相关经验,全日制,本科,艺术学,19,50-99,早期创业公司,4,122,否
47910,辛集县,,有相关经验,非全日制,本科,经济学,11,100-500,公共部门,从未,38,否
49634,兰英县,,有相关经验,无,本科,哲学,10,50-99,早期创业公司,>4,137,否
24052,南宁县,男,无相关经验,无,硕士,医学,15,50-99,公共部门,2,32,否
28013,琴市,男,有相关经验,全日制,高中,艺术学,1,50-99,私营公司,2,96,否
85027,香港县,,无相关经验,全日制,本科,其他,13,10-49,公共部门,>4,247,否
15642,邯郸市,女,无相关经验,全日制,专科,理学,>20,100-500,早期创业公司,2,89,否
63304,宁德市,女,有相关经验,非全日制,专科,教育学,1,50-99,公共部门,2,131,否
62537,刚市,男,有相关经验,非全日制,高中,教育学,10,50-99,非政府组织,1,32,否
8068,宁市,,无相关经验,非全日制,本科,管理学,8,100-500,非政府组织,1,48,否
94928,武汉市,,有相关经验,非全日制,本科,哲学,>20,100-500,其他,3,97,否
20216,西宁县,,无相关经验,无,专科,无主修,12,50-99,公共部门,从未,160,否
97871,海口市,男,有相关经验,全日制,硕士,哲学,12,50-99,非政府组织,从未,273,否
33123,通辽市,,无相关经验,非全日制,高中,工程学,9,100-500,非政府组织,2,126,否
62626,梧州县,女,有相关经验,全日制,专科,无主修,16,10-49,早期创业公司,3,14,否
23718,彬市,,有相关经验,全日制,高中,管理学,17,10-49,早期创业公司,从未,95,否
40617,辛集市,女,无相关经验,无,高中,哲学,9,50-99,私营公司,1,273,否
93663,武汉市,男,无相关经验,全日制,硕士,无主修,18,100-500,私营公司,4,285,否
81984,沈阳县,女,无相关经验,全日制,硕士,经济学,8,50-99,公共部门,3,210,否
50871,六安市,男,有相关经验,无,专科,医学,17,10-49,早期创业公司,2,58,否
98894,淑华市,女,有相关经验,无,硕士,工程学,18,100-500,早期创业公司,3,186,是
91047,辽阳市,男,无相关经验,全日制,专科,经济学,>20,100-500,非政府组织,4,261,否
55876,乌鲁木齐市,男,有相关经验,全日制,高中,理学,19,<10,公共部门,>4,227,否
69655,秀荣县,女,无相关经验,无,本科,历史学,3,50-99,其他,1,164,否
76530,香港县,,有相关经验,全日制,高中,管理学,19,50-99,私营公司,3,188,否
49853,红梅县,男,有相关经验,无,专科,哲学,9,<10,融资创业公司,3,168,否
52516,淮安市,女,有相关经验,无,硕士,艺术学,6,10-49,非政府组织,从未,77,否
92431,建县,男,无相关经验,全日制,高中,其他,12,10-49,早期创业公司,4,124,否
77414,鑫市,女,有相关经验,非全日制,硕士,管理学,4,100-500,融资创业公司,从未,92,否
34401,桂英市,男,有相关经验,非全日制,高中,艺术学,14,10-49,融资创业公司,4,237,否
16268,拉萨市,男,无相关经验,非全日制,本科,工程学,18,10-49,私营公司,2,315,否
69258,贵阳市,,有相关经验,无,专科,哲学,6,100-500,早期创业公司,从未,127,否
13685,杭州县,女,有相关经验,无,高中,哲学,3,10-49,早期创业公司,1,321,否
84209,太原市,男,有相关经验,全日制,专科,管理学,18,<10,私营公司,4,171,否
59011,辛集县,,有相关经验,无,硕士,经济学,17,50-99,私营公司,>4,103,否
12692,鹏县,女,有相关经验,非全日制,专科,历史学,>20,100-500,公共部门,2,149,否
58384,刚市,,有相关经验,非全日制,专科,工程学,15,50-99,私营公司,从未,277,否
26293,上海县,,有相关经验,非全日制,专科,艺术学,19,100-500,非政府组织,1,56,否
77958,建平县,女,无相关经验,非全日制,本科,其他,7,50-99,早期创业公司,>4,124,否
87860,兵市,,有相关经验,无,高中,历史学,9,100-500,公共部门,2,35,否
50152,彬县,女,无相关经验,非全日制,专科,艺术学,10,50-99,融资创业公司,3,189,否
33448,军市,女,无相关经验,无,高中,艺术学,20,50-99,公共部门,1,28,否
11145,淮安市,男,无相关经验,非全日制,高中,理学,3,100-500,融资创业公司,1,239,否
77407,上海县,女,无相关经验,非全日制,本科,艺术学,18,<10,非政府组织,1,1,否
29849,合山市,,有相关经验,全日制,硕士,文学,4,100-500,私营公司,4,27,否
47853,春梅市,女,有相关经验,无,硕士,文学,5,<10,其他,2,69,否
9329,楠市,男,无相关经验,非全日制,硕士,管理学,<1,<10,其他,1,131,否
16262,娟县,男,有相关经验,非全日制,本科,文学,18,100-500,非政府组织,>4,58,否
93803,琳市,女,无相关经验,无,本科,医学,6,10-49,私营公司,1,188,否
5701,杭州县,男,有相关经验,无,本科,文学,<1,50-99,早期创业公司,从未,51,否
35,长春市,,无相关经验,无,本科,哲学,6,<10,其他,3,40,否
77720,郑州县,,无相关经验,全日制,专科,医学,11,10-49,融资创业公司,从未,82,否
27767,太原县,女,无相关经验,无,高中,文学,<1,<10,融资创业公司,4,157,否
76837,强县,女,无相关经验,全日制,本科,无主修,18,50-99,私营公司,3,316,否
56778,琳市,,无相关经验,无,高中,管理学,4,100-500,公共部门,3,82,否
29400,平县,,有相关经验,无,高中,文学,5,10-49,公共部门,2,56,否
24253,辛集市,,有相关经验,非全日制,专科,工程学,8,50-99,私营公司,4,330,否
20774,北镇市,女,无相关经验,全日制,专科,医学,10,50-99,其他,3,124,否
8501,浩市,,有相关经验,非全日制,专科,经济学,1,50-99,早期创业公司,3,76,否
6701,芳县,男,无相关经验,非全日制,硕士,管理学,2,100-500,融资创业公司,>4,99,否
44259,南宁县,女,有相关经验,非全日制,硕士,文学,<1,50-99,非政府组织,2,333,否
72885,玲市,男,无相关经验,全日制,专科,理学,12,50-99,非政府组织,4,40,否
96823,香港市,女,无相关经验,全日制,硕士,管理学,15,100-500,私营公司,1,211,否
80646,关岭县,男,无相关经验,非全日制,高中,教育学,13,50-99,其他,3,206,否
11875,荣市,女,无相关经验,非全日制,本科,管理学,5,10-49,早期创业公司,3,300,否
75820,成都县,男,有相关经验,全日制,高中,文学,6,<10,早期创业公司,2,136,否
5662,合山市,男,有相关经验,非全日制,本科,经济学,1,50-99,其他,1,329,否
82857,兰州县,女,无相关经验,全日制,硕士,工程学,2,100-500,非政府组织,>4,222,否
28514,太原县,,有相关经验,非全日制,本科,医学,8,100-500,非政府组织,1,265,否
14996,芳市,男,有相关经验,无,专科,其他,16,50-99,公共部门,3,265,否
27664,台北市,女,无相关经验,全日制,高中,哲学,17,<10,早期创业公司,从未,50,否
85133,彬市,,有相关经验,非全日制,硕士,其他,5,10-49,私营公司,从未,15,否
4893,艳县,男,无相关经验,非全日制,高中,文学,<1,10-49,非政府组织,>4,35,否
30880,西安县,女,无相关经验,无,高中,历史学,3,100-500,私营公司,1,162,否
81197,琳县,男,无相关经验,无,高中,哲学,>20,50-99,其他,2,265,否
7124,燕市,男,有相关经验,全日制,高中,经济学,11,100-500,私营公司,4,236,否
16443,惠州县,女,无相关经验,非全日制,硕士,教育学,18,10-49,其他,1,170,否
7358,潜江县,男,有相关经验,非全日制,硕士,艺术学,>20,100-500,其他,4,19,否
51887,澳门市,男,有相关经验,无,高中,管理学,<1,<10,非政府组织,3,34,否
49331,太原市,女,有相关经验,无,硕士,哲学,1,100-500,早期创业公司,3,317,否
95728,杨县,女,有相关经验,全日制,高中,历史学,15,100-500,公共部门,从未,58,否
70006,冬梅县,,有相关经验,无,硕士,管理学,3,<10,非政府组织,从未,29,否
81467,丽丽市,女,无相关经验,非全日制,硕士,历史学,19,<10,公共部门,3,87,否
13677,玉市,女,无相关经验,非全日制,硕士,历史学,18,10-49,公共部门,1,171,否
13681,丹县,,有相关经验,无,专科,管理学,17,10-49,其他,3,175,否
1532,雷县,女,有相关经验,非全日制,专科,哲学,4,10-49,其他,1,167,否
65182,沈阳市,,有相关经验,全日制,本科,管理学,1,50-99,非政府组织,1,81,否
52323,六盘水县,男,无相关经验,全日制,本科,艺术学,7,10-49,非政府组织,1,326,否
31523,长沙县,,无相关经验,非全日制,硕士,艺术学,7,100-500,早期创业公司,3,273,否
12864,凯县,,无相关经验,无,硕士,哲学,7,50-99,其他,1,265,否
15043,成都市,,无相关经验,无,专科,艺术学,1,50-99,融资创业公司,4,329,否
31239,刚县,女,无相关经验,全日制,本科,工程学,7,<10,早期创业公司,>4,178,否
80758,台北县,男,有相关经验,非全日制,本科,医学,7,<10,公共部门,2,111,否
55898,嘉禾市,,有相关经验,全日制,硕士,经济学,1,100-500,非政府组织,>4,278,否
1125,雪梅市,男,有相关经验,非全日制,高中,文学,5,<10,融资创业公司,>4,135,否
61391,桂香市,男,有相关经验,非全日制,硕士,工程学,>20,50-99,非政府组织,3,3,是
93927,涛市,男,有相关经验,无,本科,教育学,16,<10,其他,2,304,否
23341,强市,男,有相关经验,非全日制,专科,其他,8,100-500,非政府组织,4,279,否
67944,秀兰县,女,有相关经验,全日制,高中,管理学,7,100-500,私营公司,1,92,否
92060,重庆县,男,有相关经验,无,专科,文学,10,10-49,公共部门,2,251,否
68936,合山县,女,无相关经验,全日制,高中,医学,12,50-99,公共部门,3,49,否
30485,巢湖市,男,无相关经验,全日制,高中,哲学,11,<10,公共部门,>4,217,否
1419,郑州县,男,无相关经验,无,本科,医学,<1,50-99,融资创业公司,从未,69,否
87618,玉梅市,男,有相关经验,非全日制,硕士,教育学,1,10-49,其他,4,165,否
40759,玉梅市,男,无相关经验,无,硕士,经济学,12,10-49,非政府组织,3,162,否
70711,阜新县,,有相关经验,无,硕士,经济学,5,100-500,公共部门,>4,71,否
62791,宜都市,,无相关经验,无,专科,管理学,19,10-49,早期创业公司,4,200,否
98996,沈阳市,,有相关经验,全日制,高中,经济学,18,<10,公共部门,>4,241,否
87334,郑州县,男,无相关经验,全日制,专科,教育学,13,50-99,公共部门,从未,313,否
67882,北镇县,男,有相关经验,全日制,专科,历史学,4,50-99,早期创业公司,1,136,否
65750,淑英市,女,无相关经验,无,专科,文学,11,<10,早期创业公司,2,291,否
22123,洋市,男,有相关经验,非全日制,高中,历史学,3,50-99,融资创业公司,4,288,否
32306,建平市,女,无相关经验,非全日制,专科,经济学,8,100-500,公共部门,从未,64,否
40488,合山市,女,无相关经验,全日制,硕士,艺术学,16,<10,其他,1,186,否
87876,桂英县,男,有相关经验,非全日制,硕士,教育学,>20,10-49,私营公司,从未,8,否
18261,丹丹市,女,无相关经验,非全日制,硕士,历史学,19,<10,其他,3,193,否
72619,长春县,女,无相关经验,非全日制,本科,管理学,6,<10,融资创业公司,2,221,否
56303,淑兰县,男,有相关经验,无,高中,管理学,10,<10,私营公司,从未,259,否
2447,宇市,男,有相关经验,非全日制,专科,其他,15,10-49,其他,3,127,否
95972,建县,男,无相关经验,全日制,专科,哲学,>20,50-99,早期创业公司,4,223,否
31578,海燕县,女,无相关经验,全日制,本科,教育学,4,10-49,早期创业公司,3,315,否
97036,上海市,,有相关经验,非全日制,本科,无主修,20,<10,公共部门,2,315,否
51387,乌鲁木齐县,,有相关经验,非全日制,高中,经济学,<1,10-49,其他,1,218,否
3480,通辽市,男,无相关经验,非全日制,本科,经济学,8,50-99,早期创业公司,2,13,否
88525,平县,女,无相关经验,无,高中,理学,2,10-49,其他,1,225,否
12265,哈尔滨市,女,有相关经验,无,专科,其他,2,<10,私营公司,1,319,否
15,郑州县,男,有相关经验,非全日制,本科,其他,16,<10,其他,4,123,否
52420,建国县,男,无相关经验,全日制,专科,艺术学,5,10-49,私营公司,>4,237,否
78932,长沙县,女,有相关经验,全日制,本科,经济学,20,<10,其他,3,54,否
25426,北镇县,男,无相关经验,全日制,专科,医学,14,10-49,公共部门,2,205,否
60574,呼和浩特市,男,无相关经验,全日制,高中,经济学,4,<10,早期创业公司,4,196,否
98060,琴县,,有相关经验,无,专科,哲学,<1,50-99,私营公司,>4,288,否
81190,澳门市,男,有相关经验,非全日制,专科,工程学,9,<10,融资创业公司,2,244,否
48840,凤英市,女,有相关经验,全日制,专科,医学,14,10-49,其他,3,143,否
97103,银川市,男,无相关经验,非全日制,专科,理学,17,10-49,其他,>4,148,否
11715,婷婷市,女,无相关经验,全日制,专科,经济学,11,10-49,私营公司,1,295,否
3187,南宁县,女,有相关经验,无,本科,其他,2,100-500,私营公司,>4,260,否
29450,南昌市,男,无相关经验,全日制,专科,历史学,20,100-500,私营公司,>4,232,否
46141,慧市,男,有相关经验,无,硕士,文学,17,50-99,早期创业公司,1,249,否
31109,成市,,无相关经验,非全日制,硕士,哲学,1,50-99,私营公司,>4,86,否
18930,慧市,,有相关经验,非全日制,高中,理学,20,10-49,早期创业公司,4,96,否
21426,台北县,女,无相关经验,非全日制,硕士,艺术学,10,100-500,私营公司,3,333,否
30881,霞县,男,有相关经验,全日制,本科,理学,4,50-99,公共部门,从未,202,是
58494,璐市,,有相关经验,非全日制,本科,教育学,<1,50-99,私营公司,从未,304,否
11624,成都市,男,无相关经验,非全日制,专科,经济学,4,50-99,早期创业公司,>4,19,否
28,娜县,,有相关经验,全日制,硕士,哲学,10,100-500,非政府组织,4,239,否
70082,秀兰县,男,有相关经验,无,本科,经济学,1,50-99,融资创业公司,>4,99,否
74621,鑫县,女,有相关经验,非全日制,专科,哲学,9,50-99,早期创业公司,从未,91,否
20039,桂英县,,无相关经验,非全日制,高中,理学,<1,<10,融资创业公司,>4,125,否
65844,超市,,无相关经验,非全日制,专科,无主修,7,100-500,私营公司,从未,118,否
23084,玉英县,男,有相关经验,全日制,硕士,经济学,6,10-49,私营公司,2,321,否
30677,齐齐哈尔市,男,有相关经验,非全日制,本科,无主修,>20,10-49,非政府组织,1,137,否
59412,亮县,,有相关经验,非全日制,硕士,医学,3,10-49,融资创业公司,3,53,否
26200,广州县,,无相关经验,无,专科,艺术学,15,10-49,私营公司,从未,107,否
73983,亮市,男,无相关经验,无,高中,哲学,16,50-99,其他,1,30,否
93991,璐市,女,无相关经验,非全日制,硕士,医学,16,10-49,非政府组织,3,156,否
11390,北镇市,女,有相关经验,非全日制,本科,哲学,16,10-49,私营公司,>4,11,否
65544,宜都市,男,无相关经验,非全日制,高中,工程学,17,50-99,其他,1,214,否
96754,佳县,,有相关经验,无,专科,教育学,17,10-49,早期创业公司,4,151,否
8172,宁德市,女,无相关经验,非全日制,专科,历史学,<1,100-500,公共部门,3,6,否
8539,瑜市,,有相关经验,无,硕士,理学,14,<10,早期创业公司,2,274,是
18629,北镇县,,有相关经验,非全日制,专科,教育学,5,100-500,私营公司,4,39,否
66275,柳市,男,有相关经验,全日制,硕士,其他,17,100-500,私营公司,4,120,否
36275,秀英市,,有相关经验,无,本科,管理学,11,50-99,早期创业公司,3,31,否
511,六盘水县,女,有相关经验,无,本科,医学,16,100-500,融资创业公司,1,250,否
22798,兴城县,女,无相关经验,全日制,硕士,理学,4,10-49,其他,3,52,否
63102,亮县,,无相关经验,全日制,高中,哲学,5,<10,公共部门,>4,292,否
53926,桂珍县,女,无相关经验,全日制,专科,哲学,20,<10,其他,从未,259,否
23046,莹市,女,有相关经验,非全日制,高中,管理学,6,50-99,私营公司,4,73,否
26662,秀芳市,男,无相关经验,全日制,硕士,文学,1,100-500,非政府组织,3,37,否
21693,晶县,男,有相关经验,全日制,专科,哲学,14,<10,其他,从未,233,否
77933,红霞县,女,无相关经验,非全日制,本科,文学,<1,<10,私营公司,4,272,否
50145,凤兰县,男,无相关经验,非全日制,本科,其他,6,50-99,公共部门,2,274,否
8388,永安市,男,有相关经验,非全日制,高中,历史学,1,<10,私营公司,4,138,否
92179,颖市,男,无相关经验,非全日制,高中,无主修,13,50-99,私营公司,>4,333,否
1630,兴安盟市,男,有相关经验,全日制,本科,理学,1,50-99,非政府组织,从未,288,是
58381,南昌市,,无相关经验,无,高中,教育学,6,50-99,早期创业公司,1,44,否
5152,刚市,女,有相关经验,无,高中,教育学,4,10-49,融资创业公司,3,13,否
67582,合山县,女,无相关经验,全日制,本科,管理学,20,100-500,公共部门,4,202,否
20437,天津县,男,无相关经验,全日制,高中,工程学,2,<10,私营公司,3,200,否
41463,荆门市,女,无相关经验,无,专科,医学,17,100-500,非政府组织,4,73,否
21407,颖市,女,无相关经验,非全日制,硕士,无主修,3,<10,其他,从未,31,否
47263,北京县,男,无相关经验,全日制,本科,哲学,12,100-500,公共部门,>4,140,否
81550,石家庄县,女,无相关经验,全日制,硕士,历史学,3,50-99,私营公司,从未,64,否
86562,宇县,女,有相关经验,非全日制,高中,文学,5,50-99,私营公司,3,173,否
42230,林市,女,有相关经验,非全日制,专科,文学,1,100-500,公共部门,3,245,否
57563,倩县,男,有相关经验,无,高中,经济学,14,100-500,其他,2,16,否
3372,梅县,男,无相关经验,无,高中,无主修,12,<10,早期创业公司,4,321,否
28999,兰州县,男,无相关经验,全日制,硕士,经济学,<1,10-49,其他,>4,26,否
18130,桂珍市,男,无相关经验,全日制,高中,哲学,20,<10,私营公司,4,135,否
15304,宇县,男,无相关经验,无,高中,理学,9,100-500,非政府组织,3,239,否
23156,晶县,女,无相关经验,全日制,专科,哲学,10,50-99,非政府组织,>4,189,否
72884,玉梅市,,无相关经验,非全日制,专科,管理学,2,<10,非政府组织,1,16,否
53830,西宁市,,有相关经验,全日制,专科,艺术学,15,<10,融资创业公司,1,311,否
65774,晨县,,无相关经验,全日制,高中,艺术学,7,10-49,非政府组织,3,334,否
15336,丹丹市,男,有相关经验,全日制,专科,其他,3,50-99,早期创业公司,从未,167,否
43021,军市,男,无相关经验,非全日制,本科,理学,20,50-99,私营公司,2,291,否
38569,沈阳市,女,无相关经验,全日制,专科,其他,14,<10,其他,从未,65,否
77794,荆门县,女,有相关经验,非全日制,本科,经济学,19,<10,其他,1,32,否
66943,平市,男,无相关经验,无,高中,文学,12,100-500,私营公司,从未,212,否
81751,秀兰县,男,有相关经验,非全日制,高中,艺术学,15,100-500,融资创业公司,从未,181,否
68098,平市,,无相关经验,无,高中,哲学,15,50-99,其他,>4,187,否
49852,辽阳县,男,无相关经验,无,专科,哲学,11,<10,非政府组织,3,29,否
92425,大冶市,女,有相关经验,无,专科,历史学,3,100-500,早期创业公司,1,246,否
75468,林县,男,无相关经验,全日制,硕士,哲学,8,50-99,融资创业公司,2,28,否
4247,东莞市,男,无相关经验,非全日制,本科,理学,4,50-99,公共部门,1,311,否
13862,昆明市,,有相关经验,全日制,专科,管理学,19,10-49,私营公司,从未,322,否
36684,贵阳市,,有相关经验,非全日制,高中,经济学,14,<10,私营公司,2,264,否
70879,佛山县,男,有相关经验,无,本科,其他,20,50-99,融资创业公司,1,293,否
6380,林市,,有相关经验,无,本科,历史学,5,<10,非政府组织,1,266,否
95450,利县,男,有相关经验,全日制,专科,文学,18,10-49,公共部门,从未,37,否
51880,邯郸市,女,有相关经验,无,高中,历史学,14,100-500,私营公司,1,260,否
37848,淑兰市,女,有相关经验,非全日制,本科,医学,20,10-49,早期创业公司,1,94,否
19726,春梅市,,有相关经验,无,高中,其他,4,<10,早期创业公司,4,253,否
82096,合肥市,,有相关经验,非全日制,高中,无主修,13,<10,早期创业公司,从未,161,否
40115,银川县,男,无相关经验,非全日制,本科,工程学,18,100-500,私营公司,1,158,否
44702,春梅县,男,有相关经验,无,高中,艺术学,5,<10,其他,>4,259,否
95574,邯郸市,女,有相关经验,非全日制,本科,其他,10,10-49,其他,4,301,否
4822,张家港县,,无相关经验,非全日制,本科,经济学,15,50-99,私营公司,4,232,否
91044,雪梅市,男,无相关经验,全日制,硕士,历史学,16,<10,非政府组织,3,29,否
7295,娟市,,无相关经验,无,本科,理学,12,10-49,融资创业公司,>4,311,否
31621,桂兰市,,无相关经验,无,专科,管理学,14,50-99,融资创业公司,>4,77,否
41134,秀荣县,男,无相关经验,非全日制,硕士,管理学,2,10-49,公共部门,1,295,否
35895,雷县,女,无相关经验,非全日制,专科,理学,2,10-49,私营公司,>4,200,否
24672,斌县,女,有相关经验,无,高中,工程学,6,10-49,融资创业公司,>4,224,否
96694,澳门市,女,有相关经验,非全日制,本科,教育学,14,100-500,其他,4,39,否
83808,燕市,男,无相关经验,非全日制,硕士,文学,8,50-99,私营公司,4,221,否
20212,雷市,女,无相关经验,非全日制,专科,历史学,16,<10,公共部门,4,57,否
20530,玉梅县,,无相关经验,全日制,本科,历史学,5,<10,私营公司,4,254,否
82275,荆门县,女,无相关经验,非全日制,专科,文学,7,50-99,非政府组织,从未,171,否
78527,佛山市,男,无相关经验,非全日制,高中,医学,3,100-500,私营公司,>4,87,否
92867,广州市,女,无相关经验,无,本科,艺术学,11,50-99,非政府组织,2,301,否
56684,宇县,,有相关经验,全日制,高中,哲学,3,50-99,非政府组织,从未,123,否
88614,东莞县,,有相关经验,非全日制,硕士,历史学,7,50-99,融资创业公司,>4,132,否
57809,丽华市,女,无相关经验,无,本科,经济学,14,10-49,融资创业公司,3,238,否
45305,想市,男,有相关经验,无,硕士,管理学,<1,10-49,其他,3,1,否
26618,巢湖县,男,有相关经验,无,硕士,无主修,15,10-49,其他,4,150,否
51124,小红市,女,有相关经验,全日制,本科,管理学,14,50-99,非政府组织,1,193,否
38893,霞市,男,有相关经验,全日制,本科,无主修,13,50-99,早期创业公司,4,151,否
10870,亮市,男,无相关经验,全日制,高中,医学,11,50-99,私营公司,4,162,否
37767,想县,女,无相关经验,非全日制,专科,哲学,5,<10,私营公司,3,107,否
28302,燕县,,无相关经验,非全日制,硕士,管理学,14,<10,早期创业公司,2,286,否
88797,红霞县,,有相关经验,无,本科,管理学,18,10-49,其他,从未,216,否
62481,洁县,,有相关经验,无,专科,理学,<1,<10,非政府组织,3,336,否
61906,英市,男,有相关经验,无,本科,无主修,10,100-500,早期创业公司,2,318,否
93017,哈尔滨县,女,无相关经验,非全日制,高中,历史学,8,100-500,其他,>4,25,否
86588,斌县,女,有相关经验,非全日制,硕士,管理学,9,<10,融资创业公司,2,300,否
49575,沈阳县,男,无相关经验,全日制,本科,经济学,15,10-49,其他,2,160,否
57576,哈尔滨市,,有相关经验,无,硕士,教育学,16,50-99,非政府组织,4,24,否
43384,汕尾县,,无相关经验,非全日制,高中,经济学,18,100-500,早期创业公司,>4,175,否
13386,马鞍山县,,有相关经验,无,本科,哲学,5,50-99,公共部门,4,143,否
68868,莹市,男,有相关经验,全日制,本科,管理学,2,<10,融资创业公司,>4,60,否
6172,通辽市,,有相关经验,全日制,本科,理学,1,<10,非政府组织,从未,148,是
20981,杭州市,男,有相关经验,非全日制,专科,文学,3,<10,私营公司,3,30,否
64697,红霞市,男,无相关经验,非全日制,专科,无主修,6,100-500,融资创业公司,1,58,否
4816,超市,男,有相关经验,无,高中,其他,6,50-99,公共部门,4,17,否
74348,秀芳市,男,有相关经验,无,硕士,哲学,16,10-49,其他,3,145,否
26742,林市,女,有相关经验,非全日制,硕士,工程学,17,<10,私营公司,从未,299,是
44812,合山县,,有相关经验,全日制,专科,其他,17,10-49,非政府组织,从未,292,否
24148,建市,,无相关经验,非全日制,高中,教育学,5,10-49,融资创业公司,4,114,否
57795,龙县,男,有相关经验,无,专科,无主修,9,100-500,早期创业公司,4,323,否
76181,杭州市,男,无相关经验,非全日制,本科,历史学,10,50-99,融资创业公司,2,267,否
11953,关岭县,女,有相关经验,无,高中,文学,18,100-500,私营公司,2,68,否
26035,凤英市,男,无相关经验,非全日制,高中,医学,14,<10,非政府组织,从未,273,否
69442,关岭县,男,有相关经验,非全日制,硕士,文学,20,10-49,早期创业公司,1,26,否
85928,石家庄市,女,无相关经验,全日制,高中,历史学,7,10-49,其他,1,193,否
40686,宜都县,,无相关经验,非全日制,硕士,工程学,1,10-49,其他,2,90,否
51882,旭县,,无相关经验,无,高中,管理学,7,50-99,其他,4,279,否
35345,想县,男,无相关经验,无,专科,文学,14,10-49,早期创业公司,2,184,否
21575,淑兰市,女,无相关经验,非全日制,高中,工程学,13,10-49,早期创业公司,1,130,否
87684,通辽市,,无相关经验,非全日制,高中,医学,7,10-49,公共部门,>4,8,否
64872,通辽县,,有相关经验,全日制,专科,经济学,2,50-99,非政府组织,2,72,否
27147,贵阳县,女,无相关经验,非全日制,高中,教育学,10,10-49,早期创业公司,从未,31,否
15052,桂香县,女,无相关经验,非全日制,专科,文学,15,10-49,私营公司,4,250,否
50954,龙县,女,无相关经验,全日制,本科,理学,7,10-49,非政府组织,3,164,否
18314,红梅市,女,有相关经验,无,硕士,经济学,9,<10,私营公司,3,182,否
80246,哈尔滨市,男,无相关经验,非全日制,高中,无主修,>20,50-99,公共部门,3,299,否
6656,红梅市,女,有相关经验,全日制,专科,工程学,5,10-49,早期创业公司,从未,183,否
79478,昆明市,,有相关经验,无,本科,理学,13,<10,融资创业公司,>4,214,是
86887,齐齐哈尔市,女,有相关经验,无,专科,无主修,>20,50-99,公共部门,从未,134,否
45691,六安县,,无相关经验,全日制,高中,管理学,18,100-500,私营公司,>4,37,否
83938,平县,男,有相关经验,无,本科,理学,20,10-49,公共部门,3,329,是
42757,桂芝市,,有相关经验,非全日制,本科,其他,<1,50-99,融资创业公司,>4,129,否
29375,秀梅市,,有相关经验,全日制,硕士,哲学,9,50-99,早期创业公司,4,13,否
61118,潜江市,男,无相关经验,无,硕士,经济学,2,100-500,公共部门,3,83,否
42615,军县,男,有相关经验,非全日制,本科,管理学,2,50-99,融资创业公司,从未,154,否
55020,林市,男,有相关经验,全日制,硕士,历史学,3,100-500,公共部门,2,311,否
78553,石家庄市,男,有相关经验,全日制,本科,管理学,17,100-500,公共部门,>4,137,否
3929,浩县,,有相关经验,非全日制,硕士,其他,1,10-49,融资创业公司,4,273,否
35276,秀华市,男,无相关经验,无,本科,经济学,19,10-49,其他,4,186,否
93990,杨县,男,有相关经验,全日制,高中,理学,18,<10,非政府组织,1,79,否
26012,重庆县,女,有相关经验,全日制,专科,工程学,6,10-49,公共部门,>4,280,否
49188,华市,男,有相关经验,全日制,硕士,教育学,12,50-99,早期创业公司,1,78,否
45040,长沙市,男,有相关经验,无,硕士,文学,14,10-49,其他,3,80,否
71213,桂花县,,有相关经验,非全日制,高中,哲学,12,10-49,早期创业公司,1,156,否
34517,桂兰市,女,无相关经验,无,硕士,理学,20,100-500,早期创业公司,从未,331,否
73637,璐县,女,有相关经验,全日制,硕士,哲学,3,10-49,非政府组织,从未,100,否
49915,呼和浩特市,,无相关经验,无,硕士,管理学,5,<10,私营公司,>4,299,否
63256,太原市,女,无相关经验,无,硕士,文学,19,50-99,公共部门,2,318,否
54472,辽阳市,男,无相关经验,全日制,高中,哲学,15,10-49,私营公司,2,98,否
19511,荆门县,女,无相关经验,非全日制,本科,无主修,11,50-99,私营公司,1,164,否
2455,利县,女,有相关经验,全日制,高中,无主修,18,<10,早期创业公司,4,244,否
4055,宜都市,女,无相关经验,无,本科,工程学,3,10-49,公共部门,从未,158,否
1118,龙县,男,无相关经验,非全日制,本科,文学,10,100-500,融资创业公司,4,277,否
49505,晶市,女,无相关经验,全日制,硕士,艺术学,<1,<10,早期创业公司,从未,55,否
44108,合山市,女,有相关经验,无,硕士,历史学,20,10-49,其他,4,328,否
99395,梧州县,男,有相关经验,无,硕士,文学,16,50-99,公共部门,从未,69,否
21442,俊县,女,有相关经验,全日制,硕士,教育学,14,<10,公共部门,4,331,否
1815,惠州市,,无相关经验,全日制,专科,其他,5,10-49,早期创业公司,1,118,否
70096,玉县,男,有相关经验,无,专科,文学,8,10-49,非政府组织,从未,159,否
82841,琴县,,无相关经验,非全日制,高中,管理学,<1,10-49,融资创业公司,3,189,否
21973,哈尔滨县,男,有相关经验,非全日制,专科,医学,15,10-49,融资创业公司,2,212,否
